/generic_texts/(.... wav)	character	text	
rima_bichos_bolita_oscarcito_2	Oscarcito	pelotita	
rima_bichos_bolita_2	Mujer	El bicho bolita no nada en el charco como una ranita anda en la tierra enroscado como una pelotita	
rima_bichos_bolita_oscarcito_3	Oscarcito	ranita	
rima_bichos_bolita_3	Mujer	El bicho bolita sueña con poder volar como la mariposa y la abeja, volar y volar pero sólo puede rodar y rodar	
rima_bichos_bolita_oscarcito_4	Oscarcito	volar	
rima_bichos_bolita_oscarcito_5	Oscarcito	rodar	
rima_bichos_bolita_oscarcito_6	Oscarcito	dormir	
rima_bichos_bolita_oscarcito_7	Oscarcito	por ahi	
rima_zorro_hornero_oscarcito_1	Oscarcito	amasa	
rima_zorro_hornero_oscarcito_2	Oscarcito	casa	
rima_zorro_hornero	Mujer	El albañil construye su casa con espátula, cincel y maza. El hornero hace su nido, con ramas, barro y pasto todo unido.	
rima_zorro_hornero_oscarcito_3	Oscarcito	nido	
rima_zorro_hornero_oscarcito_4	Oscarcito	unido	
rima_zorro_hornero_oscarcito_5	Oscarcito	tren	
rima_zorro_hornero_oscarcito_6	Oscarcito	pez	
rima_zorro_hornero_loro_7	Oscarcito	merengue	
rima_zorro_hornero_loro_8	Oscarcito	decente	
rima_risa_pajaros	Mujer	El pajarito en su nidito abre su pico para cantar y mueve sus alas para volar	
rima_risa_pajaros_oscarcito_1	Oscarcito	cantar	
rima_risa_pajaros_oscarcito_2	Oscarcito	volar	
rima_pedro_globo_oscarcito_1	Oscarcito	descansar	
rima_pedro_globo_oscarcito_2	Oscarcito	enredadera	
rima_pedro_globo_oscarcito_3	Oscarcito	veras	
rima_pedro_globo_oscarcito_4	Oscarcito	ya	
rima_pedro_globo_oscarcito_5	Oscarcito	va	
rima_dia_pesca	Mujer	A pescar fue Pablito, no picó un pececito, pero si un viejo zapatito	
rima_dia_pesca_oscarcito_1	Oscarcito	pececito	
rima_dia_pesca_oscarcito_2	Oscarcito	zapatito	
rima_dia_pesca_1	Mujer	Un pececito se fue a nadar y un pescador, con su caña lo quiso pescar pero el pececito no se dejó atrapar	
rima_dia_pesca_oscarcito_3	Oscarcito	pescar	
rima_dia_pesca_oscarcito_4	Oscarcito	atrapar	
rima_dia_pesca_2	Mujer	Cuando el viejo zapato vio a carcajadas el pescador se rió quiso más tarde el pantalón y por muchas medialunas, a Pablito se lo cambió	
rima_dia_pesca_oscarcito_5	Oscarcito	vio	
rima_dia_pesca_oscarcito_6	Oscarcito	rió	
rima_dia_pesca_oscarcito_7	Oscarcito	cambió	
rima_dia_pesca_3	Mujer	Agua ¿adónde vas? Riendo voy por el río a las orillas del mar. Mar, ¿adónde vas? Río arriba voy buscando fuente donde descansar	
rima_dia_pesca_oscarcito_8	Oscarcito	mar	
rima_dia_pesca_oscarcito_9	Oscarcito	descansar	
rima_dia_pesca_oscarcito_10	Oscarcito	cueva	
rima_dia_pesca_oscarcito_11	Oscarcito	levanta	
rima_dia_pesca_oscarcito_12	Oscarcito	chaparrón	
rima_dia_pesca_oscarcito_13	Oscarcito	jabón	
rima_piratas_cantores	Mujer	Los piratas formaron un coro para llenar sus cofres de oro. Recorrieron muchos puertos dando hermosos conciertos	
rima_piratas_cantores_oscarcito_1	Oscarcito	puertos	
rima_piratas_cantores_oscarcito_2	Oscarcito	conciertos	
rima_piratas_cantores_oscarcito_3	Oscarcito	Barbaverde	
rima_piratas_cantores_oscarcito_4	Oscarcito	suegra	
rima_piratas_cantores_oscarcito_5	Oscarcito	negra	
rima_piratas_cantores_oscarcito_6	Oscarcito	verde	
rima_piratas_cantores_oscarcito_7	Oscarcito	muerde	
rima_piratas_cantores_oscarcito_8	Oscarcito	malo	
rima_piratas_cantores_oscarcito_9	Oscarcito	palo	
cancion_piratas_cantores_oscarcito	Oscarcito	Whiski y pis, miti miti, kiwi y vid, distinguis? chin chin 	
rima_baile_oso_1	Mujer	El oso hormiguero camina en busca de su comida con su lengua pegajosa come hormigas deliciosas	
rima_baile_oso_oscarcito_1	Oscarcito	El oso hormiguero camina en busca de su comida con su lengua pegajosa come hormigas deliciosas	
rima_baile_oso_oscarcito_2	Oscarcito	camina	
rima_baile_oso_oscarcito_3	Oscarcito	comida	
rima_baile_oso_oscarcito_4	Oscarcito	pegajosa	
rima_baile_oso_oscarcito_5	Oscarcito	deliciosas	
rima_baile_oso_2	Mujer	Vivía en Chaco un joven muchacho al oso hormiguero salió a cazar pero el oso logró escapar	
rima_baile_oso_oscarcito_6	Mujer	Vivía en Chaco un joven muchacho al oso hormiguero salió a cazar pero el oso logró escapar	
rima_baile_oso_oscarcito_7	Oscarcito	Chaco	
rima_baile_oso_oscarcito_8	Oscarcito	muchacho	
rima_baile_oso_oscarcito_9	Oscarcito	cazar	
rima_baile_oso_oscarcito_10	Oscarcito	escapar	
rima_conejo_1	Mujer	Oscarcito me llamo yo, ooooo, mago mono y conejo tienen como yo, oooo	
rima_conejo_oscarcito_1	Oscarcito	yo	
rima_conejo_oscarcito_2	Oscarcito	oooo	
rima_conejo_oscarcito_3	Oscarcito	conejo	
rima_conejo_oscarcito_4	Oscarcito	estragon	
rima_conejo_oscarcito_5	Oscarcito	dragon	
rima_viaje_espacio_1	Mujer	Viajan las bolitas saltarinas visitando vecinos y vecinas. Ahora son un bello collar que un cuello va a adornar	
rima_viaje_espacio_oscarcito_1	Oscarcito	Viajan las bolitas saltarinas visitando vecinos y vecinas. Ahora son un bello collar que un cuello va a adornar	
rima_viaje_espacio_oscarcito_2	Oscarcito	arrancar	
rima_viaje_espacio_oscarcito_3	Oscarcito	despegar	
rima_viaje_espacio_oscarcito_4	Oscarcito	viajar	
rima_genio_botella	Mujer	La mar estaba serena, serena estaba la mar, La mar estaba sarana. Serena estaba la mar. 	
cancion_genio_botella_oscarcito_1	Oscarcito	La mar astaba saraña, saraña estaba la mar, la mar astaba saraña, saraña astaba la mar.	
cancion_genio_botella_oscarcito_2	Oscarcito	Le mer estebe serene, serene estebe le mer, le mer esteba serene, serene esteba le mer.	
elefante	Mujer	El elefante caminaba adelante	Adivinanzas.
oso	Mujer	Atrás el oso goloso	
serpiente	Mujer	Después la serpiente sin dientes	
serpiente	Mujer	Y al final, el yacaré y su bebé	
unir_estados_elefante	Mujer	¿Cómo estaba el elefante al principio del cuento? ¿Cómo estaba el elefante al final del cuento?	
elefante_aterrorizado	Mujer	Al principio, el elefante estaba...	
elefante_distraido	Mujer	Al final, el elefante estaba...	
caperucita-Recoge	Oscarcito	¿Quién recoge frutos?	
caperucita-Salta	Oscarcito	¿Quién va saltando?	
lobo-corre	Hombre	¿Quien corre?	
lobo-abalanza	Oscarcito	¿Quién se abalanza con la boca abierta?	
asustada	Oscarcito	Al final del cuento ¿como se sentia caperucita roja?	
contento-caperucita	Oscarcito	Al principio del cuento ¿cómo se sentia caperucita roja?	
tallo	Oscarcito	Tallo	
raiz	Oscarcito	Raices	
hoja	Oscarcito	Hoja	
flor	Oscarcito	Flor	
loboSalto	Mujer	El lobo dio un salto	
gallinaCamina	Mujer	La gallina camina	
perroCavo	Mujer	El perro cavó un pozo	
elefante-Camina	Oscarcito	Camina	
serpiente-Desliza	Oscarcito	Se desliza	
oso_cayo	Oscarcito	Se cae	
perro	Oscarcito	Se escapa	
gato-Salta	Oscarcito	Salta	
hornero	Oscarcito	Construye su casa con barro	
hornero-volo	Oscarcito	Voló a un árbol	
pajaros	Oscarcito	Revoloteaban y cantaban	
zorro	Oscarcito	Se fue al trote a la cueva	
barrilete	Oscarcito	¿Con qué se enredó la rama?	
pajaroBlanco	Oscarcito	¿Quién ayudó a Pedro a descender?	
gallinaContenta	Oscarcito	La gallina está contenta	
gallinaEnojada	Oscarcito	La gallina está enojada	
contento-nene	Oscarcito	¿Cómo está el nene?	
donBustosRego	Mujer	Don Bustos regó la planta para que crezca	
vecinosCargaron	Mujer	Los vecinos forzudos cargaron el zapallo para llevarlo a la feria	
mamaBustosCocino	Mujer	Mamá Bustos cocinó el zapallo para probarlo	
abeja-Vuela	Hombre	¿Quién vuela?	
lombriz-Arrastra	Hombre	¿Quien se arrastra?	
ciempies-Camina	Hombre	¿Quien camina?	
bicho_bolita-Rueda	Hombre	¿Quien rueda?	
ramoncitoContento	Hombre	Ramoncito está contento	
ramoncitoAsustado	Hombre	Ramoncito está asustado.	
ramoncitoPreocupado	Hombre	Ramoncito está preocupado	
ñandu-Alto	Oscarcito	¿Quien es más alto?	
pajarito-Pequeno	Oscarcito	¿Quien es más pequeño?	
ñandu-Pesado	Oscarcito	¿Quién pesa más?	
pajarito-Vuela	Oscarcito	¿Quien vuela?	
pablitoContento	Oscarcito	Pablito está contento	
PablitoAtento	Oscarcito	Pablito practica con mucha atención	
pablitoTriste	Oscarcito	Pablito está triste	
pablitoEsperanzado	Oscarcito	Pablito no quería dejarse vencer por las dificultades	
oso_hormiguero	Oscarcito	No tiene dientes, larga es su lengua, come hormigas, vive en la selva, quién es?	
montaña	Oscarcito	Puedo ser alta como el cielo y llegar hasta las nubes. Aunque no estoy vestida, por largas faldas estoy cubierta	
rio	Oscarcito	Desde el día en que nací, corro y corro sin cesar. Corro de noche y de día hasta llegar al mar	
pez	Oscarcito	Soy chiquito, puedo nadar, vivo en los ríos y también en el mar	
pez-mojado	Oscarcito	¿Cuál es el animal más mojado que nada en el agua?	
pajaro	Oscarcito	¿Cuál es el animal que vuela alto?	
perro-camina	Oscarcito	¿Cuál es el animal que camina en 4 patas?	
abeja	Oscarcito	¿Cuál es el animal que vuela de flor en flor?	
sombrero_pirata	Oscarcito	Los piratas tienen un sombrero con un dibujo de una calavera	
parche	Oscarcito	Los piratas tienen un parche en un ojo	
barba	Oscarcito	Los piratas tienen una barba larga y tupida	
mapa_tesoro	Oscarcito	Los piratas llevan un mapa del tesoro	
pata_palo	Oscarcito	Los piratas tienen una pata de palo	
garfio	Oscarcito	Los piratas tienen un garfio por mano	
tripulacion	Oscarcito	Hacen las tareas de bordo, como limpiar o cocinar	
barco	Oscarcito	Lleva a los piratas de puerto en puerto a navegando por el mar	
capitan	Oscarcito	Dirigía a los piratas para que aprendieran a cantar muy bien	
piratasAlegres	Oscarcito	Los piratas están alegres	
piratasTristes	Oscarcito	Los piratas están tristes	
piratasPreocupados	Oscarcito	Los piratas están preocupados	
muchachoAsustado	Oscarcito	Se asustó porque sabía que el oso tenía grandes y fuertes garras	
osoAsustado	Oscarcito	Se asustó porque sabía que a los humanos les gusta cazar animales silvestres	
osoDefiende	Oscarcito	se para y abre los brazos para defenderse	
osoEsquiva	Oscarcito	esquiva los golpes del muchacho	
osoHuye	Oscarcito	huye al monte	
conejo1	Oscarcito	Un conejo fue a ver a un mago para pedirle que lo hacerlo crecer y el mago le pidió bigotes de tigre y cola de mono para transformarlo	
conejo2	Oscarcito	El conejo engaño al tigre, le dijo: para que el viento no te lleve volando te voy a atar al tronco de un árbol grande; así le pudo arrancar los seis bigotes	
conejo3	Oscarcito	El conejo engaño al mono, le dijo que había escondido un secreto; cuando el mono se agachó para ver lo que había adentro le cortó la cola	
conejo4	Oscarcito	El mago pensó que si siendo tan chiquito el conejo había hecho ese daño, entonces convenía no hacerlo crecer	
conejo5	Oscarcito	Después que lo tiró por la montaña el conejo quedó con las orejas largas, las patas delanteras cortas, el pelo blanco y los ojos rojos	
conejoAntes	Oscarcito	orejas cortas	
conejoDespues	Oscarcito	pelo blanco	
conejoAntes-2	Oscarcito	pelo negro	
conejoDespues-2	Oscarcito	orejas largas	
barco-andar	Oscarcito	en una cosa que sirve para andar por el mar	
gorro_lana	Oscarcito	en una cosa que sirve para protegerse la cabeza cuando hace frío	
paraguas	Oscarcito	en algo que sirve para protegerse de la lluvia	
estrella	Oscarcito	Siempre quietas siempre inquietas durmiendo de día de noche despierta	
sol	Oscarcito	Doy calorcito Soy muy redondo Salgo tempranito Tarde me escondo	
abulDesenterro	Oscarcito	desenterró una botella de la arena	
abulDeseo	Oscarcito	le sacó el corcho a la botella y le pidió un deseo al genio	
AbulVolo	Oscarcito	despegó y voló en la alfombra	
AbulZambullo	Oscarcito	se zambulló en el mar	
camello	Oscarcito	Es un animal de cuello alargado que por el desierto va siempre jorobado. Quien es?	
tip_escucha	Nasheli	Escuchá atentamente.	
tip_escuchaL2	Nasheli	Escuchá muy bien.	Tips Consignas
tip_repeat_with_card	Mujer	Escuchá estas palabras y decilas vos.	
tip_escucha_toca	Nasheli	Escuchá bien y tocá los dibujos que corresponden.	
tip_conta_cuento	Oscarcito	¿Te gustó el cuento? Ahora, contalo vos.	
tip_conversar	Dany	Conversá con tu familia, tu maestra o tu maestro.	
tip_questions	Oscarcito	A ver… ¿qué te acordás del cuento?	
tip_falling_objects	Nasheli	Encuentra todos los objetos que te pida la consigna.	
tip_unir	Hombre	¿Cuál va con cuál?	
tip_memotestL2	Nasheli	¿Tenés buena memoria? Encontrá los dibujos y los nombres que son iguales.	
tip_simon	Nasheli	¿Jugamos? Escuchá las palabras y tocá los dibujos en el mismo orden,	
tip_rompecabezas	Nasheli	¡Armá el rompecabezas!	
tip_rompecabezasL2	Nasheli	¡Armá el rompecabezas!	
tip_read_automatic	Nasheli	¡Escuchá el cuento y luego conversá con tu familia, tu maestra o tu maestro!	
tip_read_automaticL2	Dany	¡Escuchá el cuento y luego conversá con tu familia, tu maestra o tu maestro!	
tip_paint	Oscarcito	¡A pintar!	
tip_presentar_letra	Nasheli	Aprendamos una nueva letra, escuchá a la Lora Uma atentamente.	
tip_toca_la_imagen	Nasheli	¿Qué dibujo nombra Uma? Tocalo antes de que Uma termine de nombrarlo.	
tip_labyrinth	Hombre	Encontrá el camino correcto.	
tip_completar	Oscarcito	Completá la rima, ¡yo te ayudo!	
tip_completar_solo	Oscarcito	Ahora completá la rima vos.	
tip_completar_cancion	Nasheli	Escuchemos la canción y otra vez decí vos, como Oscarcito, las palabras que faltan.	
cancion_riman	Mujer	¿Te acordás de la canción? ¿Qué palabras riman?	
que_palabras_riman	Oscarcito	Escuchá bien. ¿Qué palabras terminan igual?	
tip_ordenar_cuento	Oscarcito	Uy, el cuento se desordenó. ¿Qué pasó primero? ¿Y después?... ¿Me ayudás a ordenar el cuento?	
toca_empiezan_igual	Mujer	Ahora vos, nombrá estos dibujos como la lora Uma y tocá los que empiezan igual.	
tip_escucha_rima	Dany	¡Escuchá la rima!	
tip_escucha_cancion	Oscarcito	¿Cantamos?	
tip_leer	Nasheli	Leamos juntos. Tocá la palabra que Uma lee.	
tip_letra	Mujer	Escribamos juntos. ¿Qué letra falta?	
tip_diferencias	Nasheli	Mirá estas imágenes del cuento. ¿Cuáles son las diferencias?	
rima_palabras_loro	Mujer	Ahora vos, nombrá uno de los dibujos como la Lora Uma y tu familia o tu maestra tiene que descubrirlo.	
adivinanzas	Nasheli	Juguemos a las adivinanzas	
elegi_parte_cuento	Nasheli	Escuchamos estas partes del cuento, ¿cuál es la imagen que corresponde a cada una de ellas?	
que_susto_1	Mujer	En el cuento un animal asusta a otro animal, ¿te acordás quién asusta a quién?	Material de Actividades Cuento 1
elefante_1	Mujer	Los elefantes son animales mamiferos, ¿sabés qué es un animal mamífero?	
elefante_2	Mujer	Los animales mamiferos llevan el bebé en la panza hasta que nace, igual que nosotros.	
elefante_3	Mujer	Y después lo amamanta, le da la teta, igual que nosotros.	
queSusto2_2	Mujer	¿Por qué el oso se asustó con el elefante?	
queSusto4_3	Mujer	Y la serpiente ¿por qué se asustó con el yacaré?	
queSusto6_4	Mujer	¿Por qué el gato saltó cuando vio al perro?	
queSusto7_5	Mujer	Y los ratoncitos, ¿por qué huyeron cuando llegó el gato?	
oso_1	Mujer	Los osos, igual que los elefantes, son animales mamíferos.	
oso_2	Mujer	¿Te acordás qué es un animal mamífero?	
oso_3	Mujer	Es un animal que lleva su bebé en la panza y después lo amamanta, le da la teta, igual que nosotros.	
animalesPreferidos_1	Mujer	¿Cuál es tu animal preferido? 	
animalesPreferidos_2	Mujer	¿Cómo es? 	
animalesPreferidos_3	Mujer	¿Por qué te gusta?	
yacare1_1	Mujer	Los yacarés no son mamíferos como los osos y los elefantes, son ovíparos.	
yacare2_2	Mujer	Es decir que las mamás ponen huevos para que nazcan sus hijos.	
yacare3_3	Mujer	Tampoco los amamantan, como hacen los mamíferos.	
animalesMiedo_1	Mujer	A los elefantes les dan miedo los ratones.	
animalesMiedo_2	Mujer	¿A vos te da miedo algún animal? ¿Cuál?	
serpiente_1	Mujer	Las serpientes, igual que los yacarés, son ovíparas.	
serpiente_2	Mujer	¿Te acordás qué es un animal ovíparo?	
serpiente_3	Mujer	Es un animal que pone huevos para que nazcan sus hijos.	
serpiente_4	Mujer	¿Conocés otros animales ovíparos?	
preguntasusto_1	Mujer	La serpiente del cuento se asustó cuando vio los dientes del yacaré.	
preguntasusto_2	Mujer	Vos, ¿alguna vez te asustaste? ¿Cómo fue? ¿Dónde estabas?	
preguntasusto_3	Mujer	¿Con quién estabas? ¿Qué pasó al final?	
elefante_intro	Mujer	¿Querés saber más sobre los elefantes?	
oso_intro	Hombre	¿Querés saber más sobre los osos?	
animales_intro	Oscarcito	¡Hablemos sobre animales!	
yacare_intro	Mujer	¿Querés saber más sobre los yacarés?	
uni_animal_que_asusta	Mujer	Uní al animal que asusta con el que fue asustado.	
serpiente_intro	Mujer	¿Querés saber más sobre las serpientes?	
malevo2_1	Hombre	En el cuento al perro Malevo le regalaron un hueso, ¿te acordás qué hizo Malevo con el hueso que le regalaron?	Material de Actividades Cuento 2
malevo2_2	Hombre	¿Dónde lo escondió?	
malevo8_3	Hombre	¿Dónde encontró Malevo su hueso?	
malevo6_3	Hombre	¿Qué le pasó a Malevo cuando buscaba su hueso? 	
malevo2_5	Hombre	¿Cómo se sintió Malevo cuando le regalaron un hueso?	
malevo8_6	Hombre	¿Cómo se sintió Malevo cuando encontró su hueso?	
malevo5_7	Hombre	En el cuento Malevo se encontró con una pata ¿Dónde se encontró Malevo con la pata?	
malevo5_8	Hombre	¿Qué estaba haciendo la pata?	
malevo5_9	Hombre	¿Por qué pensás que la pata empezó a chillar?	
malevo6_10	Hombre	¿Por qué los patos atacaron a Malevo?	
malevo6_11	Hombre	¿Cómo te parece que Malevo se sintió?	
malevo7_12	Hombre	Malevo vio a un chico armando un castillo en el arenero con su hueso, ¿qué pensó Malevo?	
malevo8_13	Hombre	¿Qué hizo el chico cuando vio a Malevo?	
malevo8_14	Hombre	¿Cómo se sintió Malevo?	
malevo1_15	Hombre	Malevo era un perro callejero, que vivía en la calle y era amigo de los chicos. ¿A vos te gustan los perros?	
malevo1_16	Hombre	¿Tenés un perro en tu casa u otro animal como mascota?	
descripcion_malevo	Hombre	¿Cómo es Malevo? Escuchá cómo es cada parte de su cuerpo.	
descripcion_malevo_2	Hombre	Tiene lomo negro con manchas blancas	
descripcion_malevo_3	Hombre	Tiene hocico para oler y buscar comida	
descripcion_malevo_4	Hombre	Tiene cola que mueve contento	
descripcion_malevo_5	Hombre	Tiene patas para correr	
descripcion_malevo_6	Hombre	Tiene orejas alertas	
perros_1	Hombre	¿Tu mamá, tu papá o alguno de tus amigos tienen o tuvieron un perro u otra mascota? Pediles que te cuenten una historia que les haya pasado con sus mascotas.	
unir_malevo_estados	Mujer	¿Cómo está Malevo? ¿Está contento, asustado o hambriento? Uní las caritas que correspondan a Malevo.	
unir_comida_color	Hombre	Malevo tiene hambre. ¿De qué color es la carne que va a comer ahora? ¿Y el hueso que va a enterrar después? ¿Y el charquito de leche que va a lamer?	
rompecabezas_malevo	Hombre	Completá el rompecabezas de Malevo.	
rompecabezas_pata	Hombre	Completá el rompecabezas de la pata.	
ordenar_malevo_1	Hombre	Malevo escondió el hueso en un lugar secreto	
ordenar_malevo_2	Hombre	Malevo cavó un pozo para buscar su hueso	
ordenar_malevo_3	Hombre	Malevo buscó su hueso en un estanque en el que había una pata	
ordenar_malevo_4	Hombre	Malevo se escapó de los patos	
ordenar_malevo_5	Hombre	Malevo encontró su hueso	
rompecabezas_chico	Hombre	Uno de los chicos de la plaza le quiere hacer un regalo secreto a Malevo. Armá el rompecabezas para ayudar a Oscarcito a descubrir qué es.	
laberinto_malevo	Hombre	Vamos a ayudar a Malevo a encontrar su hueso sin encontrarse con los patos.	
zorroGallina2_1	Mujer	En el cuento, el zorro quiere atrapar a la gallina, ¿por qué?	Material de Actividades Cuento 3
zorroGallina8_2	Mujer	¿Logró el zorro atrapar a la gallina?	
gallina_1	Mujer	Las gallinas son aves, como los pájaros o patos, pero no pueden volar.	
gallina_2	Mujer	Nacen de huevos, por eso son ovíparas.	
zorroGallina4_3	Mujer	El lobo intentó atrapar dos veces a la gallina: ¿qué hizo la primera vez? ¿qué le pasó? ¿a quién asustó?	
zorroGallina6_4	Mujer	¿Qué hizo la segunda vez? ¿Qué le pasó? ¿A quiénes hizo enojar?	
rana_1	Mujer	Las ranas viven en lugares húmedos o cerca del agua, como charcos, lagunas, ríos, arroyos.	
rana_2	Mujer	Tienen los ojos muy saltones y la lengua larga y pagajosa.	
rana_3	Mujer	Las ranas hacen un chillido suave que se llama croar.	
toca_alimentos	Hombre	Tocá todos los alimentos, nombrá todo lo que tocás.	
tocar_animales_oviparos	Mujer	Tocá todos los animales ovíparos, es decir, los que ponen huevos.	
tocar_animales_mamiferos	Mujer	Tocá todos los animales mamíferos, es decir, los que llevan a su bebé en la panza.	
toca_animales	Mujer	Tocá todos los animales.	
zorroGallina5_5	Mujer	En un momento de su paseo, la gallina se encontró con un cerco. ¿Pudo seguir con su paseo? ¿Cómo?	
zorroGallina6_6	Mujer	¿Qué hizo el zorro al encontrarse con el cerco? ¿Qué le pasó?	
unir_animal_hogar	Mujer	Uní al animal con su hogar.	
zorroGallina6_7	Mujer	En el cuento, las hormigas se sienten enojadas porque el zorro cayó arriba de su hormiguero.	
zorroGallina6_8	Mujer	¿Qué te hace sentir contento o contenta? ¿Por qué?	
zorroGallina6_9	Mujer	¿Qué te hace sentir enojado o enojada? ¿Por qué?	
zorroGallina1_10	Mujer	A la gallina le gustaba salir de paseo.	
zorroGallina1_11	Mujer	¿A dónde te gusta ir a pasear a vos?	
zorroGallina1_12	Mujer	¿Qué es lo que más te gusta de ese lugar?	
toca_animales_voladores	Mujer	Tocá todos los animales que vuelan.	
intro_ranas	Nasheli	En el cuento hay unas ranas en el charco, ¿querés saber más sobre las ranas? 	
toca_animales_caminantes	Mujer	Tocá todos los animales que caminan.	
agua	Mujer	Cucú, cantaba la rana. Cucú, debajo del...	
sombrero	Mujer	Cucú, pasó un caballero. Cucú, de traje y...	
romero	Mujer	Cú, cú, pasó un marinero / Cú, cú, vendiendo...	
unir_personajes_estados	Mujer	¿Quién se siente así? Escuchá las palabras y uní cada una con el personaje que le corresponda.	
llorando	Mujer	Cú, cú, no le quiso dar / Cú, cú y se echó a...	
rompecabezas_zorro_gallina	Mujer	Arrastrá las partes del cuerpo que faltan para completar a la gallina.	
laberinto_granja	Mujer	Ayudá a la gallina a dar su paseo y volver a la granja.	
cuentosHambre1_1	Mujer	En el cuento Caperucita se encuentra con el lobo hambriento. ¿A quién se quiere comer el lobo?	Material de Actividades Cuento 4
cuentosHambre2_2	Mujer	¿Te acordás del cuento del perro Malevo? El perro también estaba hambriento, ¿qué quería comer?	
cuentosHambre3_3	Mujer	En el cuento del zorro y la gallina, el zorro estaba hambriento: ¿a quién se quería comer?	
cuentosHambre4_4	Mujer	¿A vos qué te gusta comer cuando tenés hambre?	
intro_bosques	Mujer	En el cuento Caperucita camina por el bosque. ¿Querés saber más sobre los bosques?	
bosque1_1	Mujer	El bosque es un lugar donde hay muchos árboles. Algunos árboles son muy altos.	
bosque2_2	Mujer	También hay plantas con flores y frutos.	
bosque3_3	Mujer	Entre los árboles del bosque viven muchos animales. Hay lobos, osos y ciervos.	
caperucita1_1	Mujer	En el cuento el lobo pensó un plan para comerse a Caperucita y a su abuela. ¿Qué plan pensó el lobo? ¿Por qué el lobo llegó antes a la casa de la abuelita?	
caperucita2_2	Mujer	¿Qué hizo el lobo cuando llegó a la casa de la abuelita?	
elegir_frase_caperucita	Hombre	¿Qué hacen Caperucita y el lobo en el cuento? Uní la palabra con la imagen que corresponda.	
caperucitaDiferencias_1	Hombre	Caperucita vio rara a su abuelita. ¿Por qué la vio rara?	
caperucitaDiferencias_2	Hombre	¿Cómo es el lobo?	
caperucitaDiferencias_3	Hombre	¿Cómo es la abuelita?	
caperucitaDiferencias_3	Hombre	Al principio del cuento, ¿cómo se sentía Caperucita Roja?	
toca_palabras_ca	Mujer	Tocá todos los dibujos que empiezan como Caperucita.	
asustada	Hombre	Al final del cuento, ¿cómo se sentía Caperucita Roja?	
toca_objetos_bosque	Hombre	Tocá todo lo que está en el bosque	
lobo1_1	Mujer	¿Cómo es el lobo? El lobo tiene orejas: oídos para escuchar sonidos lejanos.	
lobo2_2	Mujer	El lobo tiene ojos: ojos para ver durante el día y la noche	
lobo3_3	Mujer	El lobo tiene hocico: hocico para olfatear y buscar comida	
lobo4_4	Mujer	El lobo tiene dientes: dientes filosos para comer carne	
lobo5_5	Mujer	El lobo tiene lomo: lomo peludo para protegerse del frío	
lobo6_6	Mujer	El lobo tiene patas: patas largas y fuertes para correr rápido	
recetaCaperucita_1	Mujer	Caperucita le llevó una torta a su abuelita. Cuando la vuelva a visitar le va a llevar bombones de dulce de leche. Escuchá la receta.	
recetaCaperucita1_2	Mujer	Ingredientes: galletitas blandas tipo vainilla, dulce de leche.	
recetaCaperucita2_3	Mujer	Para hacer los bombones, primero hay que romper las vainillas en miguitas adentro de un plato hondo.	
recetaCaperucita3_4	Mujer	Después se agrega dulce de leche. Se mezcla el dulce de leche con las miguitas.	
