story_id	name	folder	audioClip	texts	duration	display 0=Full 1=solo audio 2= solo texto		character
				Para eso esperó la hora de la siesta, cuando no hay chicos ni perros en la plaza. ¡Nadie nunca encontraría su rico hueso!	0:36			
				Esa noche, mientras dormía, soñó que otros perros comían su hueso. Por la mañana se despertó con mucha hambre. ¡Era hora de buscar y comer el hueso!	0:48			
				Pero Malevo no se acordaba dónde lo había escondido. Pensó que lo había enterrado cerca de su árbol preferido. 	0:56			
				Cavó y cavó, sacó mucha tierra, casi llegó hasta las raíces del árbol... pero el hueso ahí no estaba.	1:04			
				Pensó que seguramente lo había colocado cerca del estanque de los patos, entre las plantas. Malevo se acercó despacio al borde del agua y comenzó a buscar.	1:16			
				Pero no se dió cuenta que muy cerca una pata empollaba sus huevos.	1:22			
				Cuando la pata vio los ojos de Malevo, comenzó a chillar tan fuerte que otros patos se acercaron y lo atacaron con picotazos y golpes de ala. ¡Pobre Malevo!	1:34			
				Malevo, cansado, hambriento y lastimado, volvió al arenero. En eso vio que uno de los chicos había construido un hermoso castillo y colocaba su hueso en la punta. 	1:47			
				Malevo pensó: "Me quedé sin hueso".	1:51			
				Pero cuando el chico vio a Malevo, se acercó y le ofreció el hueso mientras le acariciaba la cabeza.				
malevo:2	Malevo busca un hueso	malevo	easy	Malevo era un perro callejero negro con manchas blancas. Vivía en la plaza y jugaba con todos los chicos, pero ninguno era su dueño.	0:13	0		Mujer
				Un día, el carnicero le regaló a Malevo un enorme hueso con carne. Después de comer toda la carne del hueso, Malevo decidió esconderlo en un lugar secreto. 	0:26			
				Para eso esperó la hora de la siesta, cuando no hay chicos ni perros en la plaza. ¡Nadie nunca encontraría su rico hueso!	0:36			
				Esa noche, mientras dormía, soñó que otros perros comían su hueso. Por la mañana se despertó con mucha hambre. ¡Era hora de buscar y comer el hueso!	0:48			
				Pero Malevo no se acordaba dónde lo había escondido. Pensó que lo había enterrado cerca de su árbol preferido. 	0:56			
				Cavó y cavó, sacó mucha tierra, casi llegó hasta las raíces del árbol... pero el hueso ahí no estaba.	1:04			
				Pensó que seguramente lo había colocado cerca del estanque de los patos, entre las plantas. Malevo se acercó despacio al borde del agua y comenzó a buscar.	1:16			
				Pero no se dio cuenta que muy cerca una pata empollaba sus huevos.	1:22			
				Cuando la pata vio los ojos de Malevo, comenzó a chillar tan fuerte que otros patos se acercaron y lo atacaron con picotazos y golpes de ala. ¡Pobre Malevo!	1:34			
				Malevo, cansado, hambriento y lastimado, volvió al arenero. En eso vio que uno de los chicos había construido un hermoso castillo y colocaba su hueso en la punta. 	1:47			
				Malevo pensó: "Me quedé sin hueso".	1:51			
				Pero cuando el chico vio a Malevo, se acercó y le ofreció el hueso mientras le acariciaba la cabeza.				
malevo:3	Malevo busca un hueso	malevo	easy	Malevo era un perro callejero negro con manchas blancas. Vivía en la plaza y jugaba con todos los chicos, pero ninguno era su dueño.	0:13	0		Mujer
				Un día, el carnicero le regaló a Malevo un enorme hueso con carne. Después de comer toda la carne del hueso, Malevo decidió esconderlo en un lugar secreto. 	0:26			
				Para eso esperó la hora de la siesta, cuando no hay chicos ni perros en la plaza. ¡Nadie nunca encontraría su rico hueso!	0:36			
				Esa noche, mientras dormía, soñó que otros perros comían su hueso. Por la mañana se despertó con mucha hambre. ¡Era hora de buscar y comer el hueso!	0:48			
				Pero Malevo no se acordaba dónde lo había escondido. Pensó que lo había enterrado cerca de su árbol preferido. 	0:56			
				Cavó y cavó, sacó mucha tierra, casi llegó hasta las raíces del árbol... pero el hueso ahí no estaba.	1:04			
				Pensó que seguramente lo había colocado cerca del estanque de los patos, entre las plantas. Malevo se acercó despacio al borde del agua y comenzó a buscar.	1:16			
				Pero no se dio cuenta que muy cerca una pata empollaba sus huevos.	1:22			
				Cuando la pata vio los ojos de Malevo, comenzó a chillar tan fuerte que otros patos se acercaron y lo atacaron con picotazos y golpes de ala. ¡Pobre Malevo!	1:34			
				Malevo, cansado, hambriento y lastimado, volvió al arenero. En eso vio que uno de los chicos había construido un hermoso castillo y colocaba su hueso en la punta. 	1:47			
				Malevo pensó: "Me quedé sin hueso".	1:51			
				Pero cuando el chico vio a Malevo, se acercó y le ofreció el hueso mientras le acariciaba la cabeza.				
malevo:4	Malevo busca un hueso	malevo	easy	Malevo era un perro callejero negro con manchas blancas. Vivía en la plaza y jugaba con todos los chicos, pero ninguno era su dueño.	0:13	0		Mujer
				Un día, el carnicero le regaló a Malevo un enorme hueso con carne. Después de comer toda la carne del hueso, Malevo decidió esconderlo en un lugar secreto. 	0:26			
				Para eso esperó la hora de la siesta, cuando no hay chicos ni perros en la plaza. ¡Nadie nunca encontraría su rico hueso!	0:36			
				Esa noche, mientras dormía, soñó que otros perros comían su hueso. Por la mañana se despertó con mucha hambre. ¡Era hora de buscar y comer el hueso!	0:48			
				Pero Malevo no se acordaba dónde lo había escondido. Pensó que lo había enterrado cerca de su árbol preferido. 	0:56			
				Cavó y cavó, sacó mucha tierra, casi llegó hasta las raíces del árbol... pero el hueso ahí no estaba.	1:04			
				Pensó que seguramente lo había colocado cerca del estanque de los patos, entre las plantas. Malevo se acercó despacio al borde del agua y comenzó a buscar.	1:16			
				Pero no se dio cuenta que muy cerca una pata empollaba sus huevos.	1:22			
				Cuando la pata vio los ojos de Malevo, comenzó a chillar tan fuerte que otros patos se acercaron y lo atacaron con picotazos y golpes de ala. ¡Pobre Malevo!	1:34			
				Malevo, cansado, hambriento y lastimado, volvió al arenero. En eso vio que uno de los chicos había construido un hermoso castillo y colocaba su hueso en la punta. 	1:47			
				Malevo pensó: "Me quedé sin hueso".	1:51			
				Pero cuando el chico vio a Malevo, se acercó y le ofreció el hueso mientras le acariciaba la cabeza.				
malevo:5	Malevo busca un hueso	malevo	easy	vacio	0:11	0		Mujer
zorro_gallina	El Zorro y la Gallina	zorro_gallina	easy	Rosita era una gallina muy gorda que vivía en el gallinero de una granja. Un día la gallina Rosita salió de paseo.	0:11	1		Mujer
				Un zorro hambriento la vio salir, quiso comérsela y la siguió.	0:17			
				La gallina se fue caminando por el costado del charco. El zorro, que estaba detrás de ella, dio un salto para atraparla.	0:26			
				Pero ¡pobre zorro! En vez de atrapar a la gallina, se cayó al agua y asustó a las ranas que se estaban dando un baño.  	0:35			
				La gallina siguió su paseo y en el camino se encontró con un cerco de madera. 	0:41			
				Como las gallinas no son animales grandes, pudo pasar por un pequeño agujero que había entre dos maderitas.	0:48			
				En cambio, el zorro no podía pasar por ese agujerito tan pequeño. 	0:54			
				Como el zorro quería atrapar a la gallinita, tuvo que saltar para pasar por encima del cerco y cayó arriba de un hormiguero lleno de hormigas.	1:04			
				Las hormigas, muy enojadas, picaron muy fuerte al pobre zorro. El zorro se levantó y corriendo, corriendo, se alejó muy rápido. 	1:14			
				La gallina, muy tranquila y contenta, volvió al gallinero a comer su cena. 				
zorro_gallina:2	El Zorro y la Gallina	zorro_gallina	easy	Rosita era una gallina muy gorda que vivía en el gallinero de una granja. Un día la gallina Rosita salió de paseo.	0:11	0		Mujer
				Un zorro hambriento la vio salir, quiso comérsela y la siguió.	0:17			
				La gallina se fue caminando por el costado del charco. El zorro, que estaba detrás de ella, dio un salto para atraparla.	0:26			
				Pero ¡pobre zorro! En vez de atrapar a la gallina, se cayó al agua y asustó a las ranas que se estaban dando un baño.  	0:35			
				La gallina siguió su paseo y en el camino se encontró con un cerco de madera. 	0:41			
				Como las gallinas no son animales grandes, pudo pasar por un pequeño agujero que había entre dos maderitas.	0:48			
				En cambio, el zorro no podía pasar por ese agujerito tan pequeño. 	0:54			
				Como el zorro quería atrapar a la gallinita, tuvo que saltar para pasar por encima del cerco y cayó arriba de un hormiguero lleno de hormigas.	1:04			
				Las hormigas, muy enojadas, picaron muy fuerte al pobre zorro. El zorro se levantó y corriendo, corriendo, se alejó muy rápido. 	1:14			
				La gallina, muy tranquila y contenta, volvió al gallinero a comer su cena. 				
zorro_gallina:3	El Zorro y la Gallina	zorro_gallina	easy	Rosita era una gallina muy gorda que vivía en el gallinero de una granja. Un día la gallina Rosita salió de paseo.	0:11	0		Mujer
				Un zorro hambriento la vio salir, quiso comérsela y la siguió.	0:17			
				La gallina se fue caminando por el costado del charco. El zorro, que estaba detrás de ella, dio un salto para atraparla.	0:26			
				Pero ¡pobre zorro! En vez de atrapar a la gallina, se cayó al agua y asustó a las ranas que se estaban dando un baño.  	0:35			
				La gallina siguió su paseo y en el camino se encontró con un cerco de madera. 	0:41			
				Como las gallinas no son animales grandes, pudo pasar por un pequeño agujero que había entre dos maderitas.	0:48			
				En cambio, el zorro no podía pasar por ese agujerito tan pequeño. 	0:54			
				Como el zorro quería atrapar a la gallinita, tuvo que saltar para pasar por encima del cerco y cayó arriba de un hormiguero lleno de hormigas.	1:04			
				Las hormigas, muy enojadas, picaron muy fuerte al pobre zorro. El zorro se levantó y corriendo, corriendo, se alejó muy rápido. 	1:14			
				La gallina, muy tranquila y contenta, volvió al gallinero a comer su cena. 				
zorro_gallina:4	El Zorro y la Gallina	zorro_gallina	easy	Rosita era una gallina muy gorda que vivía en el gallinero de una granja. Un día la gallina Rosita salió de paseo.	0:11	0		Mujer
				Un zorro hambriento la vio salir, quiso comérsela y la siguió.	0:17			
				La gallina se fue caminando por el costado del charco. El zorro, que estaba detrás de ella, dio un salto para atraparla.	0:26			
				Pero ¡pobre zorro! En vez de atrapar a la gallina, se cayó al agua y asustó a las ranas que se estaban dando un baño.  	0:35			
				La gallina siguió su paseo y en el camino se encontró con un cerco de madera. 	0:41			
				Como las gallinas no son animales grandes, pudo pasar por un pequeño agujero que había entre dos maderitas.	0:48			
				En cambio, el zorro no podía pasar por ese agujerito tan pequeño. 	0:54			
				Como el zorro quería atrapar a la gallinita, tuvo que saltar para pasar por encima del cerco y cayó arriba de un hormiguero lleno de hormigas.	1:04			
				Las hormigas, muy enojadas, picaron muy fuerte al pobre zorro. El zorro se levantó y corriendo, corriendo, se alejó muy rápido. 	1:14			
				La gallina, muy tranquila y contenta, volvió al gallinero a comer su cena. 				
zorro_gallina:5	El Zorro y la Gallina	zorro_gallina	easy	vacio	0:11	0		Mujer
caperucita_roja	Caperucita Roja	caperucita_roja	easy	Había una vez una niña que vivía con su mamá en una casa en el bosque. Su abuelita le había regalado una hermosa capa roja con capucha. Por eso todos la llamaban Caperucita Roja.	0:14	1		Mujer
				Un día, la madre de Caperucita le pidió que llevara una canasta con una torta a su abuelita que estaba enferma.	0:22			
				Caperucita Roja se marchó. Iba saltando alegremente por el bosque. De pronto, bajo la sombra de un gran árbol se encontró con el lobo y Caperucita le contó que iba a la casa de su abuelita. 	0:36			
				El lobo, hambriento, pensó en comerse a Caperucita allí mismo, pero tuvo miedo porque cerca estaban unos leñadores cortando leña.	0:47			
				Entonces el lobo pensó un plan para poder comerse a Caperucita. Le preguntó dónde quedaba la casa de su abuelita y decidió tomar el camino más corto para llegar antes que Caperucita. 	0:59			
				Caperucita siguió por el camino más largo, entreteniéndose en recoger fruta y cortar flores.	1:05			
				El astuto lobo fue directamente a la casa de la abuelita, entró y de un enorme bocado, se comió a la anciana. 	1:15			
				Se puso su camisón y se metió en la cama. El lobo se escondió bien debajo de las mantas para engañar a Caperucita.	1:23			
				Cuando llegó, Caperucita Roja llamó toda contenta a la puerta._- ¿Quién está ahí? - respondió una voz extraña y ronca. 	1:35			
				- La abuelita debe tener un resfrío muy fuerte - pensó Caperucita Roja -. Su voz es muy ronca.	1:43			
				Caperucita entró y, cuando se acercó a la cama, vio rara a su abuelita._- Abuelita, ¡qué brazos tan grandes tienes! - le dijo. 	1:50			
				- Son para abrazarte mejor, querida - le respondió el lobo.	1:59			
				- Abuelita, ¡qué ojos tan grandes tienes!_- Son para verte mejor, hijita. 	2:10			
				- Abuelita, ¡qué orejas tan grandes tienes!_- Son para oírte mejor, cariño.	2:16			
				- Abuelita, ¡qué dientes tan grandes tienes!_- ¡Son para comerte mejor! -. Y dicho esto, el lobo se abalanzó sobre Caperucita Roja con intención de comérsela.	2:34			
				Por suerte pasaba por allí un cazador que, al oír el alboroto, entró y salvó a Caperucita. 	2:42			
				El cazador mató al lobo, lo abrió por la mitad y de adentro del vientre salió la abuelita.	2:52			
				Todos fueron muy felices. El cazador se llevó a casa la fina piel de lobo. La abuelita comió la torta.	3:01			
				Caperucita Roja prometió que tendría más cuidado al caminar por el bosque y que nunca más volvería a hablar con un lobo.				
caperucita_roja:2	Caperucita Roja	caperucita_roja	easy	Había una vez una niña que vivía con su mamá en una casa en el bosque. Su abuelita le había regalado una hermosa capa roja con capucha. Por eso todos la llamaban Caperucita Roja.	0:14	0		Mujer
				Un día, la madre de Caperucita le pidió que llevara una canasta con una torta a su abuelita que estaba enferma.	0:22			
				Caperucita Roja se marchó. Iba saltando alegremente por el bosque. De pronto, bajo la sombra de un gran árbol se encontró con el lobo y Caperucita le contó que iba a la casa de su abuelita. 	0:36			
				El lobo, hambriento, pensó en comerse a Caperucita allí mismo, pero tuvo miedo porque cerca estaban unos leñadores cortando leña.	0:47			
				Entonces el lobo pensó un plan para poder comerse a Caperucita. Le preguntó dónde quedaba la casa de su abuelita y decidió tomar el camino más corto para llegar antes que Caperucita. 	0:59			
				Caperucita siguió por el camino más largo, entreteniéndose en recoger fruta y cortar flores.	1:05			
				El astuto lobo fue directamente a la casa de la abuelita, entró y de un enorme bocado, se comió a la anciana. 	1:15			
				Se puso su camisón y se metió en la cama. El lobo se escondió bien debajo de las mantas para engañar a Caperucita.	1:23			
				Cuando llegó, Caperucita Roja llamó toda contenta a la puerta._- ¿Quién está ahí? - respondió una voz extraña y ronca. 	1:35			
				- La abuelita debe tener un resfrío muy fuerte - pensó Caperucita Roja -. Su voz es muy ronca.	1:43			
				Caperucita entró y, cuando se acercó a la cama, vio rara a su abuelita._- Abuelita, ¡qué brazos tan grandes tienes! - le dijo. 	1:50			
				- Son para abrazarte mejor, querida - le respondió el lobo.	1:59			
				- Abuelita, ¡qué ojos tan grandes tienes!_- Son para verte mejor, hijita. 	2:10			
				- Abuelita, ¡qué orejas tan grandes tienes!_- Son para oírte mejor, cariño.	2:16			
				- Abuelita, ¡qué dientes tan grandes tienes!_- ¡Son para comerte mejor! -. Y dicho esto, el lobo se abalanzó sobre Caperucita Roja con intención de comérsela.	2:34			
				Por suerte pasaba por allí un cazador que, al oír el alboroto, entró y salvó a Caperucita. 	2:42			
				El cazador mató al lobo, lo abrió por la mitad y de adentro del vientre salió la abuelita.	2:52			
				Todos fueron muy felices. El cazador se llevó a casa la fina piel de lobo. La abuelita comió la torta.	3:01			
				Caperucita Roja prometió que tendría más cuidado al caminar por el bosque y que nunca más volvería a hablar con un lobo.				
caperucita_roja:3	Caperucita Roja	caperucita_roja	easy	Había una vez una niña que vivía con su mamá en una casa en el bosque. Su abuelita le había regalado una hermosa capa roja con capucha. Por eso todos la llamaban Caperucita Roja.	0:14	0		Mujer
				Un día, la madre de Caperucita le pidió que llevara una canasta con una torta a su abuelita que estaba enferma.	0:22			
				Caperucita Roja se marchó. Iba saltando alegremente por el bosque. De pronto, bajo la sombra de un gran árbol se encontró con el lobo y Caperucita le contó que iba a la casa de su abuelita. 	0:36			
				El lobo, hambriento, pensó en comerse a Caperucita allí mismo, pero tuvo miedo porque cerca estaban unos leñadores cortando leña.	0:47			
				Entonces el lobo pensó un plan para poder comerse a Caperucita. Le preguntó dónde quedaba la casa de su abuelita y decidió tomar el camino más corto para llegar antes que Caperucita. 	0:59			
				Caperucita siguió por el camino más largo, entreteniéndose en recoger fruta y cortar flores.	1:05			
				El astuto lobo fue directamente a la casa de la abuelita, entró y de un enorme bocado, se comió a la anciana. 	1:15			
				Se puso su camisón y se metió en la cama. El lobo se escondió bien debajo de las mantas para engañar a Caperucita.	1:23			
				Cuando llegó, Caperucita Roja llamó toda contenta a la puerta._- ¿Quién está ahí? - respondió una voz extraña y ronca. 	1:35			
				- La abuelita debe tener un resfrío muy fuerte - pensó Caperucita Roja -. Su voz es muy ronca.	1:43			
				Caperucita entró y, cuando se acercó a la cama, vio rara a su abuelita._- Abuelita, ¡qué brazos tan grandes tienes! - le dijo. 	1:50			
				- Son para abrazarte mejor, querida - le respondió el lobo.	1:59			
				- Abuelita, ¡qué ojos tan grandes tienes!_- Son para verte mejor, hijita. 	2:10			
				- Abuelita, ¡qué orejas tan grandes tienes!_- Son para oírte mejor, cariño.	2:16			
				- Abuelita, ¡qué dientes tan grandes tienes!_- ¡Son para comerte mejor! -. Y dicho esto, el lobo se abalanzó sobre Caperucita Roja con intención de comérsela.	2:34			
				Por suerte pasaba por allí un cazador que, al oír el alboroto, entró y salvó a Caperucita. 	2:42			
				El cazador mató al lobo, lo abrió por la mitad y de adentro del vientre salió la abuelita.	2:52			
				Todos fueron muy felices. El cazador se llevó a casa la fina piel de lobo. La abuelita comió la torta.	3:01			
				Caperucita Roja prometió que tendría más cuidado al caminar por el bosque y que nunca más volvería a hablar con un lobo.				
caperucita_roja:4	Caperucita Roja	caperucita_roja	easy	Había una vez una niña que vivía con su mamá en una casa en el bosque. Su abuelita le había regalado una hermosa capa roja con capucha. Por eso todos la llamaban Caperucita Roja.	0:14	0		Mujer
				Un día, la madre de Caperucita le pidió que llevara una canasta con una torta a su abuelita que estaba enferma.	0:22			
				Caperucita Roja se marchó. Iba saltando alegremente por el bosque. De pronto, bajo la sombra de un gran árbol se encontró con el lobo y Caperucita le contó que iba a la casa de su abuelita. 	0:36			
				El lobo, hambriento, pensó en comerse a Caperucita allí mismo, pero tuvo miedo porque cerca estaban unos leñadores cortando leña.	0:47			
				Entonces el lobo pensó un plan para poder comerse a Caperucita. Le preguntó dónde quedaba la casa de su abuelita y decidió tomar el camino más corto para llegar antes que Caperucita. 	0:59			
				Caperucita siguió por el camino más largo, entreteniéndose en recoger fruta y cortar flores.	1:05			
				El astuto lobo fue directamente a la casa de la abuelita, entró y de un enorme bocado, se comió a la anciana. 	1:15			
				Se puso su camisón y se metió en la cama. El lobo se escondió bien debajo de las mantas para engañar a Caperucita.	1:23			
				Cuando llegó, Caperucita Roja llamó toda contenta a la puerta._- ¿Quién está ahí? - respondió una voz extraña y ronca. 	1:35			
				- La abuelita debe tener un resfrío muy fuerte - pensó Caperucita Roja -. Su voz es muy ronca.	1:43			
				Caperucita entró y, cuando se acercó a la cama, vio rara a su abuelita._- Abuelita, ¡qué brazos tan grandes tienes! - le dijo. 	1:50			
				- Son para abrazarte mejor, querida - le respondió el lobo.	1:59			
				- Abuelita, ¡qué ojos tan grandes tienes!_- Son para verte mejor, hijita. 	2:10			
				- Abuelita, ¡qué orejas tan grandes tienes!_- Son para oírte mejor, cariño.	2:16			
				- Abuelita, ¡qué dientes tan grandes tienes!_- ¡Son para comerte mejor! -. Y dicho esto, el lobo se abalanzó sobre Caperucita Roja con intención de comérsela.	2:34			
				Por suerte pasaba por allí un cazador que, al oír el alboroto, entró y salvó a Caperucita. 	2:42			
				El cazador mató al lobo, lo abrió por la mitad y de adentro del vientre salió la abuelita.	2:52			
				Todos fueron muy felices. El cazador se llevó a casa la fina piel de lobo. La abuelita comió la torta.	3:01			
				Caperucita Roja prometió que tendría más cuidado al caminar por el bosque y que nunca más volvería a hablar con un lobo.				
caperucita_roja:5	Caperucita Roja	caperucita_roja	easy	Había una vez una niña que vivía con su mamá en una casa en el bosque. Su abuelita le había regalado una hermosa capa roja con capucha. Por eso todos la llamaban Caperucita Roja.	0:14	0		Mujer
				Un día, la madre de Caperucita le pidió que llevara una canasta con una torta a su abuelita que estaba enferma.	0:22			
				Caperucita Roja se marchó. Iba saltando alegremente por el bosque. De pronto, bajo la sombra de un gran árbol se encontró con el lobo y Caperucita le contó que iba a la casa de su abuelita. 	0:36			
				El lobo, hambriento, pensó en comerse a Caperucita allí mismo, pero tuvo miedo porque cerca estaban unos leñadores cortando leña.	0:47			
				Entonces el lobo pensó un plan para poder comerse a Caperucita. Le preguntó dónde quedaba la casa de su abuelita y decidió tomar el camino más corto para llegar antes que Caperucita. 	0:59			
				Caperucita siguió por el camino más largo, entreteniéndose en recoger fruta y cortar flores.	1:05			
				El astuto lobo fue directamente a la casa de la abuelita, entró y de un enorme bocado, se comió a la anciana. 	1:15			
				Se puso su camisón y se metió en la cama. El lobo se escondió bien debajo de las mantas para engañar a Caperucita.	1:23			
				Cuando llegó, Caperucita Roja llamó toda contenta a la puerta._- ¿Quién está ahí? - respondió una voz extraña y ronca. 	1:35			
				- La abuelita debe tener un resfrío muy fuerte - pensó Caperucita Roja -. Su voz es muy ronca.	1:43			
				Caperucita entró y, cuando se acercó a la cama, vio rara a su abuelita._- Abuelita, ¡qué brazos tan grandes tienes! - le dijo. 	1:50			
				- Son para abrazarte mejor, querida - le respondió el lobo.	1:59			
				- Abuelita, ¡qué ojos tan grandes tienes!_- Son para verte mejor, hijita. 	2:10			
				- Abuelita, ¡qué orejas tan grandes tienes!_- Son para oírte mejor, cariño.	2:16			
				- Abuelita, ¡qué dientes tan grandes tienes!_- ¡Son para comerte mejor! -. Y dicho esto, el lobo se abalanzó sobre Caperucita Roja con intención de comérsela.	2:34			
				Por suerte pasaba por allí un cazador que, al oír el alboroto, entró y salvó a Caperucita. 	2:42			
				El cazador mató al lobo, lo abrió por la mitad y de adentro del vientre salió la abuelita.	2:52			
				Todos fueron muy felices. El cazador se llevó a casa la fina piel de lobo. La abuelita comió la torta.	3:01			
				Caperucita Roja prometió que tendría más cuidado al caminar por el bosque y que nunca más volvería a hablar con un lobo.				
zapallo_gigante	El Zapallo Gigante	zapallo_gigante	easy	Troncón Robusto era un pueblo chico y tranquilo. Los vecinos del pueblo trabajaban en el campo y por las tardes cuidaban los patios de sus casas donde crecían flores, plantas de verduras y árboles frutales. 	0:18	1		Mujer
				Un día, en el patio de la familia Bustos, nació una plantita de hojas gruesas y tallo finito, que con los días se hacía cada vez más larga. Pasaron unas cuantas lluvias y, una linda mañana de sol, apareció un pequeño zapallo. 	0:34			
				-¡Qué rico! - pensó Don Bustos - cuando crezca un poco más, voy a poder comer una rica sopa de zapallo. Pero Don Bustos no tuvo que esperar mucho. 	0:47			
				A la mañana siguiente, el pequeño zapallo se había convertido en un zapallo gigante que ocupaba la mitad del patio y era casi tan alto como la casa.	0:59			
				-¡Qué bueno! - dijo Pedrito Bustos - Me trepo hasta la punta y me deslizo por el tallo como si fuera un tobogán. 	1:06			
				-¡Ni lo sueñe, mi hijo! Yo con este zapallo voy a preparar ochocientos cincuenta y tres kilos de dulce - respondió Mamá Bustos. 	1:15			
				- ¡Ah, no! ¡Nadie toca mi zapallo! - ordenó Don Bustos - Primero lo llevo a la feria del pueblo para que todos vean qué verduras maravillosas crecen en el patio de Don Bustos. 	1:27			
				Y dicho esto, salió a buscar su camioneta. Con la ayuda de cinco vecinos muy forzudos, Don Bustos cargó el zapallo y salió rumbo a la feria.	1:40			
				Los chicos y los grandes miraban impresionados el zapallo._- ¡Qué zapallo robusto! ¿Cómo hizo para que sea tan grande, Don Bustos? 	1:50			
				- Y... La verdad es que Don Bustos no sabía qué contestar porque el zapallo había crecido solo, se había vuelto gigante como por arte de magia.	2:02			
				En eso se escuchó una voz y un recién llegado con cara de pícaro preguntó: "¿Y cómo están tan seguros de que esa cosa es un zapallo?". 	2:13			
				Todos se sorprendieron ante la pregunta y empezaron a explicar._-¿No ve que es naranja? Si fuera verde podría ser una sandía.	2:22			
				- Tan redondo como es, no puede ser una zanahoria._- Con esas hojas y ese tallo, solo puede ser un zapallo.	2:31			
				- ¡Ah, no, no! A mí si no me demuestran que es un zapallo, no les creo._- ¿Cómo que no me cree? ¿Qué tengo que hacer para demostrárselo? - preguntó desafiante Don Bustos. 	2:45			
				- Bueno, la única forma de saber si de verdad es un zapallo es probándolo. El zapallo tiene gusto a zapallo. 	2:55			
				A Don Bustos no le gustó la idea de cocinar su zapallo para un extraño. Pero como no quería que pensaran que era un mentiroso, aceptó. Y se pusieron a cocinar.	3:07			
				Cuando el zapallo estuvo listo, de la olla salía un aroma delicioso. Mamá Bustos hundió un tenedor en el zapallo y lo probó._- ¡Tiene gusto a zapallo! - gritó triunfante. 	3:20			
				- ¡Ah, no no! Acá el que tiene que probar soy yo - dijo el pícaro - ¡Sírvame por favor un buen plato de zapallo! 	3:31			
				Don Bustos estuvo a punto de negarse, pero se calló. Sentado en una mesa, el pícaro pidió sal y aceite y con un tenedor preparó el puré. 	3:41			
