day	story_id	games	tips (id de texts)	dificultad	Aclaraciones	Cosas que Faltan
		read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		escuchar	tip_escucha_rima			
		painting	tip_paint			
2	rulitos:2	repeat_with_card	escuchar_repetir_animales			
		elegir_frase	tip_escucha_toca			
		elegir_frase	tip_escucha_toca			
		elegir_frase	tip_escucha_toca			
		objeto_diferente	toca_animal_diferente			
		objeto_diferente	toca_animal_diferente			
		objeto_diferente	toca_animal_diferente			
		escuchar	tip_escucha_rima			
3	rulitos:3	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_diferencias			
		labyrinth	laberinto_rulitos			
		escuchar	tip_escucha_rima			
		completar	tip_completar	x		
		completar	tip_completar_solo	x	no anda por bundles	
4	rulitos:4	repeat_with_card	escuchar_repetir_animales			
		elegir_frase	tip_escucha_toca			
		elegir_frase	tip_escucha_toca			
		elegir_frase	tip_escucha_toca			
		objeto_diferente	toca_animal_diferente			
		objeto_diferente	toca_animal_diferente			
		objeto_diferente	toca_animal_diferente			
		escuchar	tip_escucha_rima			
5	rulitos:5	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_conversar			
		questions	tip_conversar			
		questions	tip_conversar			
		falling_objects	toca_osos			
6	rulitos:6	read_automatic	tip_read_automatic			
		questions	tip_questions			
		repeat_with_card	escucha_repeti_objetosOsos			
		questions	tip_conversar			
		escuchar	tip_escucha_rima			
		painting	tip_paint			
7	rulitos:7	repeat_with_card	escucha_repeti_cosas_casa			
		memotest	tip_memotest			
		elegir_frase	tip_escucha_toca			
		escuchar	tip_escucha_rima			
8	rulitos:8	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_conversar			
		elegir_frase	tip_escucha_toca			
		escuchar	tip_escucha_rima			
		completar	tip_completar	x		
		completar	tip_completar_solo	x	no anda por bundles	
9	rulitos:9	ordenar	tip_ordenar_cuento			
		elegir_frase	tip_escucha_toca			
		questions	tip_conversar			
		escuchar	tip_escucha_rima			
10	rulitos:10	questions	tip_conta_cuento			
		memotest	tip_memotest			
		elegir_frase	tip_escucha_toca			
		unir	uni_oso_objetos			
		unir	uni_oso_objetos			
		unir	uni_oso_objetos			
1	integracion	read_automatic	tip_read_automatic			
		questions	tip_questions			
		elegir_frase	tip_parte_cuento			
		memotest	tip_memotest			
		escuchar	tip_escucha_cancion			
		painting	tip_paint			
2	integracion:2	questions	tip_conta_cuento			
		questions	tip_conversar			
		questions	tip_conversar			
		questions	tip_conversar			
		questions	tip_conversar			
		memotest	tip_memotest			
		escuchar	tip_escucha_rima			
		painting	tip_paint			
3	integracion:3	questions	tip_conversar			
		objeto_diferente	toca_animal_diferente			
		objeto_diferente	toca_animal_diferente			
		objeto_diferente	toca_animal_diferente			
		objeto_diferente	toca_animal_diferente			
		falling_objects	toca_pollitos			
		escuchar	tip_escucha_rima			
4	integracion:4	questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_conversar			
		memotest	tip_memotest			
		escuchar	tip_escucha_rima			
		completar	tip_completar	x		
		completar	tip_completar_solo	x		
5	integracion:5	questions	tip_conta_cuento			
		falling_objects	toca_objetos_casa			
		falling_objects	toca_animales			
		elegir_frase	tip_escucha_toca			
		escuchar	tip_escucha_rima			
1	amigos_de_dany	questions	tip_conversar			
		questions	tip_conversar			
		questions	tip_conversar			
		questions	tip_conversar			
		read_automatic	tip_read_automatic			
		questions	tip_conversar			
		questions	tip_conversar			
		escuchar	tip_escucha_cancion			
2	amigos_de_dany:2	repeat_with_card	escucha_repeti_juguetes			
		memotest	tip_memotest			
		contar	toca_pelotas		No dice los numeros en qom	
		escuchar	tip_escucha_cancion			
		questions	presentacionLoroUriel		dice las cosas en español no se por que	
		questions	presentacionLoroUriel		y ademas esta la imagen con el UMA puesto 	
		questions	presentacionLoroUriel			
3	amigos_de_dany:3	questions	tip_escucha			
		questions	tip_escucha			
		read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		elegir_frase	tip_escucha_toca			
		questions	tip_conversar			
		escuchar	tip_escucha_cancion			
		loro_repeat	tip_repetir_loro	x		
4	amigos_de_dany:4	questions	tip_conversar			
		questions	tip_conversar			
		simon	tip_simon			
		contar	toca_autos			
		escuchar	tip_escucha_cancion			
		loro_repeat	tip_repetir_loro	x		
5	amigos_de_dany:5	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_conversar			
		falling_objects	toca_juguetes			
		escuchar	tip_escucha_cancion			
		loro_time	tip_toca_la_imagen	x		
6	amigos_de_dany:6	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_conversar			
		questions	tip_conversar			
		questions	tip_conversar			
		escuchar	tip_escucha_cancion			
		loro_repeat	tip_repetir_loro	x		
7	amigos_de_dany:7	repeat_with_card	escucha_repeti_partes_cuerpo			
		memotest	tip_memotest			
		elegir_frase	tip_escucha_toca			
		rompecabezas	tip_rompecabezas			
8	amigos_de_dany:8	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_conversar			
		escuchar	tip_escucha_rima			
		painting	tip_paint			
		loro_repeat	tip_repetir_loro	x		
9	amigos_de_dany:9	ordenar	tip_ordenar_cuento			
		labyrinth	laberinto_dany			
		simon	tip_escucha_toca			
		escuchar	tip_escucha_rima			
		loro_repeat	tip_repetir_loro	x		
10	amigos_de_dany:10	questions	tip_conta_cuento			
		questions	tip_conversar			
		elegir_frase	juguetes_1			
		escuchar	tip_escucha_rima			
		completar	tip_completar	x		
		completar	tip_completar_solo	x		
		loro_repeat	tip_repetir_loro	x		
1	liebre_tortuga	questions	tip_conversar			
		questions	tip_conversar			
		questions	tip_conversar			
		read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		escuchar	tip_escucha_rima			
		painting	tip_paint			
		loro_repeat	tip_repetir_loro	x		
2	liebre_tortuga:2	questions	tip_conversar			
		repeat_with_card	escucha_repeti_ropa			
		elegir_frase	tip_escucha_toca			
		unir	unir_partes_ropa			
3	liebre_tortuga:3	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		questions	unirRopa_1			
		questions	unirRopa_1			
		questions	unirRopa_1			
		memotest	tip_memotest			
		escuchar	tip_escucha_rima			
		loro_time	tip_toca_la_imagen	x		
4	liebre_tortuga:4	questions	tip_conversar			
		simon	tip_simon			
		questions	tip_conversar			
		escuchar	tip_escucha_rima			
		completar	tip_completar			
		completar	tip_completar_solo			
		arrastrar_grupos	toca_palabras_empiezan_igual			
5	liebre_tortuga:5	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		contar	toca_pantalones			
		elegir_frase	escucha_toca_ropa_1			
		escuchar	tip_escucha_rima			
		questions	tip_presentar_letra			
		questions	tip_presentar_letra			
		letra	tip_letra	x	no anda en qom unu	loro_olgaxa-gallina loro_escribir_oso loro_escribir_cos-chancho loro_escribir_mogosaxan-quirquincho 
		letra	tip_letra	x		
		letra	tip_letra	x		
6	liebre_tortuga:6	read_automatic	tip_read_automatic			
		questions	tip_conversar			
		questions	tip_conversar			
		questions	tip_conversar			
		questions	tip_diferencias			
		repeat_with_card	escucha_repeti_cosas_cielo			
		labyrinth	laberinto_tortuga			
7	liebre_tortuga:7	questions	tip_conversar			
		memotest	tip_memotest			
		falling_objects	toca_nubes			
		escuchar	tip_escucha_cancion			
		painting	tip_paint			
		loro_time	tip_escucha_toca	x		
8	liebre_tortuga:8	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		elegir_frase	tip_escucha_toca			
		questions	tip_conversar			
		escuchar	tip_escucha_rima			
		painting	tip_paint			
		loro_repeat	tip_repetir_loro	x		
9	liebre_tortuga:9	ordenar	tip_ordenar_cuento			
		simon	tip_simon			
		contar	toca_estrellas			
		escuchar	tip_escucha_rima			
		completar	tip_completar			
		completar	tip_completar_solo			
		arrastrar_grupos	toca_palabras_empiezan_igual	x		
10	liebre_tortuga:10	questions	tip_conta_cuento			
		elegir_frase	tip_escucha_toca			
		falling_objects	toca_juguetes			
		escuchar	tip_escucha_rima			
		completar	tip_completar			
		completar	tip_completar_solo			
		questions	tip_presentar_letra			
		questions	tip_presentar_letra			
		letra	tip_letra	x		
		letra	tip_letra	x		
		letra	tip_letra	x		
1	integracion_2	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		elegir_frase	tip_parte_cuento			
		unir	juguetes_1			
		escuchar	tip_escucha_rima			
		painting	tip_paint			
		loro_repeat	tip_repetir_loro	x		
2	integracion_2:2	questions	tip_conta_cuento			
		falling_objects	toca_juguetes			
		escuchar	tip_escucha_rima			
		loro_time	tip_toca_la_imagen	x		
3	integracion_2:3	escuchar	animalesDiaNoche_1			
		questions	tip_conversar			
		painting	tip_paint			
		escuchar	tip_escucha_rima			
		completar	tip_completar			
		completar	tip_completar_solo			
		loro_time	tip_toca_la_imagen	x		
4	integracion_2:4	read_automatic	tip_read_automatic			
		questions	tip_questions			
		elegir_frase	estados_liebre			
		questions	tip_escucha			
		questions	tip_escucha			
		painting	tip_paint			
		questions	tip_conversar			
		questions	tip_conversar			
		questions	tip_conversar			
		painting	tip_paint			
5	integracion_2:5	questions	tip_conta_cuento			
		falling_objects	toca_objetos_casa			
		objeto_diferente	toca_objeto_diferente			
		objeto_diferente	toca_objeto_diferente			
		objeto_diferente	toca_objeto_diferente			
		objeto_diferente	toca_objeto_diferente			
		objeto_diferente	toca_objeto_diferente			
		objeto_diferente	toca_objeto_diferente			
		escuchar	tip_escucha_rima			
		letra	tip_letra	x		
		letra	tip_letra	x		
		letra	tip_letra	x		
1	familia_dany	questions	tip_conversar			
		questions	tip_conversar			
		repeat_with_card	escucha_repeti_familia			
		read_automatic	tip_read_automatic			
		questions	tip_escucha			
		questions	tip_escucha			
		escuchar	tip_escucha_cancion			
		painting	tip_paint			
		loro_repeat	tip_repetir_loro			
2	familia_dany:2	questions	tip_conversar			
		questions	tip_conversar			
		memotest	tip_memotest			
		escuchar	tip_escucha_rima			
		painting	tip_paint			
		loro_time	tip_toca_la_imagen			
3	familia_dany:3	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_conversar			
		escuchar	tip_escucha_rima			
		arrastrar_grupos	toca_palabras_empiezan_igual	x		
4	familia_dany:4	contar			falta tip	
		contar				
		elegir_frase	tip_escucha_toca			
		escuchar	tip_escucha_rima			
		completar	tip_completar_solo			
		questions	tip_presentar_letra			
		questions	tip_presentar_letra			
		letra	tip_letra	x		
		letra	tip_letra	x		
		letra	tip_letra	x		
5	familia_dany:5	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		labyrinth	laberinto_dany_familia_1			
		elegir_frase	tip_escucha_toca			
		escuchar	tip_escucha_rima			
		letra	tip_letra	x		
		letra	tip_letra	x		
6	familia_dany:6	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_conversar			
		questions	tip_conversar			
		escuchar	tip_escucha_cancion			
		loro_time	tip_toca_la_imagen			
7	familia_dany:7	repeat_with_card	escucha_repeti_instrumentos_cocina			
		memotest	tip_memotest			
		contar	toca_cucharas			
		escuchar	tip_escucha_cancion			
		painting	tip_paint			
		arrastrar_grupos	toca_palabras_empiezan_igual			
8	familia_dany:8	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		elegir_frase	tip_escucha_toca			
		questions	tip_conversar			
		escuchar	tip_escucha_cancion			
		questions	tip_presentar_letra			
		questions	tip_presentar_letra			
		letra	tip_letra	x		
		letra	tip_letra	x		
		letra	tip_letra	x		
9	familia_dany:9	ordenar	tip_ordenar_cuento			
		simon	tip_simon			
		escuchar	tip_escucha_cancion			
		letra	tip_letra	x		
		letra	tip_letra	x		
		letra	tip_letra	x		
10	familia_dany:10	questions	tip_conta_cuento			
		questions	tip_conversar			
		falling_objects	toca_objetos_casa			
		rompecabezas	tip_rompecabezas			
		imagen_palabras	tip_leer	x		
		imagen_palabras	tip_leer	x		
		imagen_palabras	tip_leer	x		
1	caperucita_roja_l2	questions	tip_conversar			
		questions	tip_conversar			
		questions	tip_conversar			
		read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_conversar			
		escuchar	tip_escucha_cancion			
		loro_time	tip_toca_la_imagen			
2	caperucita_roja_l2:2	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		repeat_with_card	tip_repeat_with_card			
		memotest	tip_memotest			
		escuchar	tip_escucha_cancion			
		arrastrar_grupos	toca_palabras_empiezan_igual			
3	caperucita_roja_l2:3	questions	tip_conversar			
		questions	tip_conversar			
		questions	tip_conversar			
		questions	tip_conversar			
		elegir_frase	tip_escucha_toca			
		questions	tip_conversar		falta audio	
		questions	tip_presentar_letra			
		questions	tip_presentar_letra			
		escuchar	tip_escucha_cancion			
		letra	tip_letra	x		
		letra	tip_letra	x		
4	caperucita_roja_l2:4	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		labyrinth	laberinto_Caperucita			
		simon	tip_repeat_with_card			
		escuchar	tip_escucha_cancion			
		letra	tip_letra	x		
5	caperucita_roja_l2:5	questions	tip_conversar			
		questions	tip_conversar			
		questions	tip_conversar			
		contar	toca_pescados			
		escuchar	tip_escucha_cancion			
		imagen_palabras	tip_leer	x		
		imagen_palabras	tip_leer	x		
		imagen_palabras	tip_leer	x		
6	caperucita_roja_l2:6	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		elegir_frase	tip_escucha_toca			
		escuchar	tip_escucha_cancion			
		loro_time	tip_toca_la_imagen			
7	caperucita_roja_l2:7	elegir_frase	tip_parte_cuento			
		repeat_with_card	escucha_repeti_partes_cara			
		memotest	tip_memotest			
		escuchar	tip_escucha_cancion			
		loro_repeat	tip_repetir_loro			
8	caperucita_roja_l2:8	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		elegir_frase	tip_escucha_toca			
		escuchar	tip_escucha_rima			
		questions	tip_presentar_letra			
		questions	tip_presentar_letra			
		letra	tip_letra	x		
		letra	tip_letra	x		
		letra	tip_letra	x		
9	caperucita_roja_l2:9	ordenar	tip_ordenar_cuento			
		elegir_frase	tip_parte_cuento			
		simon	tip_simon			
		escuchar	tip_escucha_rima			
		letra	tip_letra	x		
		letra	tip_letra	x		
		letra	tip_letra	x		
10	caperucita_roja_l2:10	questions	tip_conta_cuento			
		falling_objects	toca_objetos_casa			
		unir	unir_sentidos			
		escuchar	tip_escucha_rima			
		completar	tip_completar	x		
		completar	tip_completar_solo	x		
		imagen_palabras	tip_leer	x		
		imagen_palabras	tip_leer	x		
		imagen_palabras	tip_leer	x		
1	integracion_3	read_automatic	tip_read_automatic			
		questions	tip_questions			
		elegir_frase	tip_parte_cuento			
		simon	tip_escucha_toca			
		escuchar	tip_escucha_cancion			
		painting	tip_paint			
		loro_repeat	tip_repetir_loro			
2	integracion_3:2	questions	tip_conta_cuento			
		elegir_frase	tip_escucha_toca			
		unir	unir_familia_elementos			
		escuchar	tip_escucha_rima			
		arrastrar_grupos	toca_palabras_empiezan_igual	x		
3	integracion_3:3	objeto_diferente	toca_objeto_diferente			
		objeto_diferente	toca_objeto_diferente			
		objeto_diferente	toca_objeto_diferente			
		objeto_diferente	toca_objeto_diferente			
		labyrinth	laberinto_Abuela			
		escuchar	tip_escucha_rima			
		questions	tip_conversar			
		questions	tip_conversar			
		letra	tip_letra	x		
		letra	tip_letra	x		
4	integracion_3:4	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		escuchar	tip_escucha_rima			
		letra	tip_letra	x		
		letra	tip_letra	x		
		letra	tip_letra	x		
		letra	tip_letra	x		
5	integracion_3:5	questions	tip_conta_cuento			
		rompecabezas	tip_rompecabezas			
		objeto_diferente	toca_objeto_diferente			
		objeto_diferente	toca_objeto_diferente			
		objeto_diferente	toca_objeto_diferente			
		objeto_diferente	toca_objeto_diferente			
		escuchar	tip_escucha_rima			
		imagen_palabras	tip_leer	x		
		imagen_palabras	tip_leer	x		
		imagen_palabras	tip_leer	x		
